FDHI ID,Earthquake,Date,Magnitude,Cumulative displacement,Style,Hypocenter lat,Hypocenter lon,Feature,Breached or unbreached,Type (releasing or restraining),Type (single or double),Distance splay or double bend (m),Length (m) or angle (deg),Spacing double bend (m),Type (length or angle),Location along rupture,Total rupture length,Normalized location,Distance to epicenter,Distance to max slip,Slip at gate (m),Normalized slip at gate,x1check,y1check,UTM zone,latcheck,loncheck
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,releasing,double,579.68616296047,15.9566446093988,159.3614626059,angle,189169.99816986,199115.277475184,0.950052655770907,27391.0592045382,51817.5921306795,NaN,NaN,753335.921888421,3010387.68867949,41N,27.1929177985208,65.5572798034545
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,38.2920576965698,0,angle,86009.9994150281,199115.277475184,0.431960824431202,76876.9202914824,50753.3540821218,7.41118424,0.463199015,695025.678250278,2928032.11939149,41N,26.4592847777734,64.9561826514388
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,restraining,double,552.664297022193,29.0561431659774,268.410486411849,angle,77299.9994662042,199115.277475184,0.388217320370298,85397.4734727084,59332.3801336858,8.27297375,0.517060859375,687771.91674782,2923214.69490179,41N,26.4167880150812,64.8827498409233
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,restraining,double,514.099816767288,34.4001232112614,290.450345137226,angle,182309.998252422,199115.277475184,0.91560025209589,21242.8799206352,45046.5349927956,NaN,NaN,749551.207690459,3004670.63989996,41N,27.14204371139,65.5179475158334
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,23.765820550691,0,angle,86349.9994125263,199115.277475184,0.433668377974102,76888.2876863914,50721.7157774698,NaN,NaN,696152.113435484,2926955.85187762,41N,26.4494174603514,64.9673107886596
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,18.6628898674951,0,angle,1509.9999930862,199115.277475184,0.00758354663807446,158879.048291112,133521.282862006,2.72431642857143,0.170269776785714,620459.092993753,2889117.67427938,41N,26.1162701192289,64.2047898308085
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,9.18610125808869,0,angle,2499.99999215569,199115.277475184,0.012555540809606,157917.890085742,132549.835419251,2.90530525,0.181581578125,621379.812072995,2889489.07956123,41N,26.1195458036063,64.2140315454378
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,restraining,double,2940.50307482403,7.18470041333225,367.763739927245,angle,5069.99998001525,199115.277475184,0.0254626367414079,155492.031909549,130087.063674255,4.117588,0.25734925,623845.386159042,2890239.85984366,41N,26.1261137665257,64.2387589511129
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,restraining,double,2515.91256332884,7.81545552333986,342.120888997157,angle,12309.9999378846,199115.277475184,0.0618234828285277,148722.676517177,123210.508961191,6.2129508,0.388309425,630775.32064805,2892314.72980267,41N,26.1442319419719,64.308270049634
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,9.02718130940036,0,angle,17749.9998866205,199115.277475184,0.0891443394584965,143512.456070615,117935.572123859,7.00524557142857,0.437827848214286,635853.635892382,2894282.37117715,41N,26.1615237998109,64.3592678859396
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,5.76988964486742,0,angle,20369.9998534266,199115.277475184,0.102302546101543,141014.027825989,115406.114298549,6.712895,0.4195559375,638283.978456912,2895242.03978026,41N,26.169955164026,64.383681030528
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,4.02445286759229,0,angle,26869.9997795349,199115.277475184,0.134946951937848,134834.199992001,109144.458027443,7.06950825,0.441844265625,644359.705910006,2897567.19468852,41N,26.1903466696924,64.4447189600092
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,30.13872749484,0,angle,31909.9997290318,199115.277475184,0.160258922035798,129904.663569618,104173.50863076,5.10015333333333,0.318759583333333,648836.509458124,2899895.17397151,41N,26.210903489639,64.4897773118422
